Data;Sistema;GWh
02/07/2015;Sul;10,7
02/07/2015;Nordeste;43,6
02/07/2015;Norte;0
02/07/2015;Sistema Interligado Nacional;54,3
03/07/2015;Sudeste/Centro-Oeste;0
03/07/2015;Sul;14,4
03/07/2015;Nordeste;30,6
03/07/2015;Norte;0
03/07/2015;Sistema Interligado Nacional;45
04/07/2015;Sudeste/Centro-Oeste;0
04/07/2015;Sul;21
04/07/2015;Nordeste;21,1
04/07/2015;Norte;0
04/07/2015;Sistema Interligado Nacional;42
05/07/2015;Sudeste/Centro-Oeste;0
05/07/2015;Sul;9,1
05/07/2015;Nordeste;38,9
05/07/2015;Norte;0
05/07/2015;Sistema Interligado Nacional;48
06/07/2015;Sudeste/Centro-Oeste;0
06/07/2015;Sul;13,3
06/07/2015;Nordeste;54,5
06/07/2015;Norte;0
06/07/2015;Sistema Interligado Nacional;67,8
07/07/2015;Sudeste/Centro-Oeste;0
07/07/2015;Sul;7,8
07/07/2015;Nordeste;37,7
07/07/2015;Norte;0
07/07/2015;Sistema Interligado Nacional;45,5
08/07/2015;Sudeste/Centro-Oeste;0
08/07/2015;Sul;7,1
08/07/2015;Nordeste;31,3
08/07/2015;Norte;0
08/07/2015;Sistema Interligado Nacional;38,3
09/07/2015;Sudeste/Centro-Oeste;0
09/07/2015;Sul;8,3
09/07/2015;Nordeste;39,3
09/07/2015;Norte;0
09/07/2015;Sistema Interligado Nacional;47,7
10/07/2015;Sudeste/Centro-Oeste;0
10/07/2015;Sul;3,5
10/07/2015;Nordeste;50,5
10/07/2015;Norte;0
10/07/2015;Sistema Interligado Nacional;54,1
11/07/2015;Sudeste/Centro-Oeste;0
11/07/2015;Sul;3,7
11/07/2015;Nordeste;51,5
11/07/2015;Norte;0
11/07/2015;Sistema Interligado Nacional;55,2
12/07/2015;Sudeste/Centro-Oeste;0
12/07/2015;Sul;8,3
12/07/2015;Nordeste;50,2
12/07/2015;Norte;0
12/07/2015;Sistema Interligado Nacional;58,6
13/07/2015;Sudeste/Centro-Oeste;0
13/07/2015;Sul;16
13/07/2015;Nordeste;51
13/07/2015;Norte;0
13/07/2015;Sistema Interligado Nacional;67
14/07/2015;Sudeste/Centro-Oeste;0
14/07/2015;Sul;9,4
14/07/2015;Nordeste;54,4
14/07/2015;Norte;0
14/07/2015;Sistema Interligado Nacional;63,8
15/07/2015;Sudeste/Centro-Oeste;0
15/07/2015;Sul;3,3
15/07/2015;Nordeste;51
15/07/2015;Norte;0
15/07/2015;Sistema Interligado Nacional;54,3
16/07/2015;Sudeste/Centro-Oeste;0
16/07/2015;Sul;5
16/07/2015;Nordeste;53,6
16/07/2015;Norte;0
16/07/2015;Sistema Interligado Nacional;58,6
17/07/2015;Sudeste/Centro-Oeste;0
17/07/2015;Sul;8,5
17/07/2015;Nordeste;47,1
17/07/2015;Norte;0
17/07/2015;Sistema Interligado Nacional;55,6
18/07/2015;Sudeste/Centro-Oeste;0
18/07/2015;Sul;6,8
18/07/2015;Nordeste;54,8
18/07/2015;Norte;0
18/07/2015;Sistema Interligado Nacional;61,6
19/07/2015;Sudeste/Centro-Oeste;0
19/07/2015;Sul;11,2
19/07/2015;Nordeste;54,6
19/07/2015;Norte;0
19/07/2015;Sistema Interligado Nacional;65,7
20/07/2015;Sudeste/Centro-Oeste;0
20/07/2015;Sul;17
20/07/2015;Nordeste;52
20/07/2015;Norte;0
20/07/2015;Sistema Interligado Nacional;69
21/07/2015;Sudeste/Centro-Oeste;0
21/07/2015;Sul;10,4
21/07/2015;Nordeste;35,7
21/07/2015;Norte;0
21/07/2015;Sistema Interligado Nacional;46,1
22/07/2015;Sudeste/Centro-Oeste;0
22/07/2015;Sul;2,5
22/07/2015;Nordeste;40,9
22/07/2015;Norte;0
22/07/2015;Sistema Interligado Nacional;43,4
23/07/2015;Sudeste/Centro-Oeste;0
23/07/2015;Sul;12
23/07/2015;Nordeste;50,9
23/07/2015;Norte;0
23/07/2015;Sistema Interligado Nacional;62,9
24/07/2015;Sudeste/Centro-Oeste;0
24/07/2015;Sul;8
24/07/2015;Nordeste;48,8
24/07/2015;Norte;0
24/07/2015;Sistema Interligado Nacional;56,9
25/07/2015;Sudeste/Centro-Oeste;0
25/07/2015;Sul;8,2
25/07/2015;Nordeste;52,7
25/07/2015;Norte;0
25/07/2015;Sistema Interligado Nacional;60,9
26/07/2015;Sudeste/Centro-Oeste;0
26/07/2015;Sul;5,6
26/07/2015;Nordeste;39,6
26/07/2015;Norte;0
26/07/2015;Sistema Interligado Nacional;45,2
27/07/2015;Sudeste/Centro-Oeste;0
27/07/2015;Sul;3,2
27/07/2015;Nordeste;44,6
27/07/2015;Norte;0
27/07/2015;Sistema Interligado Nacional;47,8
28/07/2015;Sudeste/Centro-Oeste;0
28/07/2015;Sul;5,7
28/07/2015;Nordeste;46,3
28/07/2015;Norte;0
28/07/2015;Sistema Interligado Nacional;52
29/07/2015;Sudeste/Centro-Oeste;0
29/07/2015;Sul;5,1
29/07/2015;Nordeste;53,7
29/07/2015;Norte;0
29/07/2015;Sistema Interligado Nacional;58,8
30/07/2015;Sudeste/Centro-Oeste;0
30/07/2015;Sul;9,6
30/07/2015;Nordeste;60,2
30/07/2015;Norte;0
30/07/2015;Sistema Interligado Nacional;69,8
31/07/2015;Sudeste/Centro-Oeste;0
31/07/2015;Sul;15,7
31/07/2015;Nordeste;53,3
31/07/2015;Norte;0
31/07/2015;Sistema Interligado Nacional;69
01/08/2015;Sudeste/Centro-Oeste;0
01/08/2015;Sul;8,9
01/08/2015;Nordeste;55,7
01/08/2015;Norte;0
01/08/2015;Sistema Interligado Nacional;64,6
02/08/2015;Sudeste/Centro-Oeste;0
02/08/2015;Sul;11,2
02/08/2015;Nordeste;59,9
02/08/2015;Norte;0
02/08/2015;Sistema Interligado Nacional;71,1
03/08/2015;Sudeste/Centro-Oeste;0
03/08/2015;Sul;10
03/08/2015;Nordeste;62,8
03/08/2015;Norte;0
03/08/2015;Sistema Interligado Nacional;72,8
04/08/2015;Sudeste/Centro-Oeste;0
04/08/2015;Sul;11,8
04/08/2015;Nordeste;58,4
04/08/2015;Norte;0
04/08/2015;Sistema Interligado Nacional;70,2
05/08/2015;Sudeste/Centro-Oeste;0
05/08/2015;Sul;23,3
05/08/2015;Nordeste;47,5
05/08/2015;Norte;0
05/08/2015;Sistema Interligado Nacional;70,8
06/08/2015;Sudeste/Centro-Oeste;0
06/08/2015;Sul;23,1
06/08/2015;Nordeste;52
06/08/2015;Norte;0
06/08/2015;Sistema Interligado Nacional;75
07/08/2015;Sudeste/Centro-Oeste;0
07/08/2015;Sul;16,8
07/08/2015;Nordeste;57,4
07/08/2015;Norte;0
07/08/2015;Sistema Interligado Nacional;74,2
08/08/2015;Sudeste/Centro-Oeste;0
08/08/2015;Sul;12,1
08/08/2015;Nordeste;60,8
08/08/2015;Norte;0
08/08/2015;Sistema Interligado Nacional;73
09/08/2015;Sudeste/Centro-Oeste;0
09/08/2015;Sul;25,7
09/08/2015;Nordeste;67,7
09/08/2015;Norte;0
09/08/2015;Sistema Interligado Nacional;93,4
10/08/2015;Sudeste/Centro-Oeste;0
10/08/2015;Sul;22,4
10/08/2015;Nordeste;69,6
10/08/2015;Norte;0
10/08/2015;Sistema Interligado Nacional;92
11/08/2015;Sudeste/Centro-Oeste;0
11/08/2015;Sul;5,2
11/08/2015;Nordeste;70,7
11/08/2015;Norte;0
11/08/2015;Sistema Interligado Nacional;75,9
12/08/2015;Sudeste/Centro-Oeste;0
12/08/2015;Sul;8,6
12/08/2015;Nordeste;69
12/08/2015;Norte;0
12/08/2015;Sistema Interligado Nacional;77,5
13/08/2015;Sudeste/Centro-Oeste;0
13/08/2015;Sul;9,6
13/08/2015;Nordeste;65,5
13/08/2015;Norte;0
13/08/2015;Sistema Interligado Nacional;75,1
14/08/2015;Sudeste/Centro-Oeste;0
14/08/2015;Sul;3,7
14/08/2015;Nordeste;59
14/08/2015;Norte;0
14/08/2015;Sistema Interligado Nacional;62,8
15/08/2015;Sudeste/Centro-Oeste;0
15/08/2015;Sul;7,5
