Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
01/01/2017;14 DE JULHO;51,67;98,73;91,08
01/01/2017;AGUA VERMELHA;640,62;659,05;2,88
01/01/2017;AIMORES;93;90,86;-2,3
01/01/2017;ALTO SUCURIU;23;23;0
01/01/2017;ALZIR SANTOS;55,62;24,55;-55,86
01/01/2017;AMADORAGUIAR1;63,96;64,85;1,39
01/01/2017;AMADORAGUIAR2;55,69;62,03;11,38
01/01/2017;AREAL;9,71;0;-100
01/01/2017;BAGUARI;50;42,43;-15,14
01/01/2017;BARIRI;66,25;67,52;1,92
01/01/2017;BARRA BONITA;35;34,89;-0,31
01/01/2017;BATALHA;10;10,03;0,3
01/01/2017;BELO MONTE;1.722,31;1.733,63;0,66
01/01/2017;BENTO MUNHOZ;195,04;213,61;9,52
01/01/2017;C. DOURADA;70;71,11;1,59
01/01/2017;C.CALDEIRAO;48;43,51;-9,35
01/01/2017;CACONDE;30;29,82;-0,6
01/01/2017;CAMARGOS;9;9,31;3,44
01/01/2017;CANA BRAVA;125;125,45;0,36
01/01/2017;CANOAS I;80;79,53;-0,59
01/01/2017;CANOAS II;70;68,79;-1,73
01/01/2017;CAPIVARA;363,85;377,44;3,74
01/01/2017;CASTRO ALVES;74;129,08;74,43
01/01/2017;CHAVANTES;375;370,33;-1,25
01/01/2017;CORUMBA;80;79,2;-1
01/01/2017;CORUMBA III;41,25;41,16;-0,22
01/01/2017;CORUMBA IV;45;47,01;4,47
01/01/2017;CURUA-UNA;14;14,04;0,29
01/01/2017;DARDANELOS;259;253,69;-2,05
01/01/2017;E.CUNHA;40;35,61;-10,98
01/01/2017;EMBORCACAO;146;158,33;8,45
01/01/2017;ESPORA;21;21,1;0,48
01/01/2017;ESTREITO;260;260,57;0,22
01/01/2017;FERREI.GOMES;55;39,58;-28,04
01/01/2017;FONTES NOVA;110;112,96;2,69
01/01/2017;FUNDAO;70;52,8;-24,57
01/01/2017;FUNIL;89;84,12;-5,48
01/01/2017;FUNIL GRANDE;59;59,46;0,78
01/01/2017;FURNAS;212,5;213,82;0,62
01/01/2017;G.JOSE RICHA;358,96;392,2;9,26
01/01/2017;GUAPORE;50;52,08;4,16
01/01/2017;GUILMA AMORIM;50;29,39;-41,22
01/01/2017;H.BORDEN EXT;19;19,24;1,26
01/01/2017;H.BORDEN SUB;42,92;15,15;-64,7
01/01/2017;IBITINGA;95;95,76;0,8
01/01/2017;IGARAPAVA;66;56,24;-14,79
01/01/2017;ILHA POMBOS;90;82,49;-8,34
