Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
01/01/2017;UTE CUIABA;0;0;0
01/01/2017;UTE ELDORADO BR;0;0;0
01/01/2017;UTE ELECTRON;0;0;0
01/01/2017;UTE FLORES 1;0;0;0
01/01/2017;UTE FLORES 2;0;0;0
01/01/2017;UTE FLORES 3;0;0;0
01/01/2017;UTE FLORES 4;0;0;0
01/01/2017;UTE GLOBAL I;28,33;27,47;-3,04
01/01/2017;UTE GLOBAL II;31,31;30,22;-3,48
01/01/2017;UTE GOIASA;0;0;0
01/01/2017;UTE GUA.TANABI;0;0;0
01/01/2017;UTE GUAIRA;24;24;0
01/01/2017;UTE GUARANI;13;13;0
01/01/2017;UTE IPAUSSU;0;0;0
01/01/2017;UTE IRANDUBA;0;0;0
01/01/2017;UTE JARAQUI;55;45,1;-18
01/01/2017;UTE LAGO AZUL;0;0;0
01/01/2017;UTE MADEIRAS;2;2;0
01/01/2017;UTE MANAUARA;65;66,74;2,68
01/01/2017;UTE MAUA 7;0;0;0
01/01/2017;UTE MAUA BL 3;105;103,71;-1,23
01/01/2017;UTE MAUA BL 6;0;0;0
01/01/2017;UTE MAUA BL I;0;0;0
01/01/2017;UTE MAUA BL4;0;0;0
01/01/2017;UTE MURICY;0;0;0
01/01/2017;UTE P.FERRO 1;0;0;0
01/01/2017;UTE PERNAMB.3;0;0;0
01/01/2017;UTE RIO ACRE;0;0;0
01/01/2017;UTE SANTANA;0;0;0
01/01/2017;UTE SANTANA II;0;0;0
01/01/2017;UTE SAO BORJA;0;0;0
01/01/2017;UTE SIDE PECEM;170;195,29;14,88
01/01/2017;UTE SOL;154,29;146,32;-5,17
01/01/2017;UTE SUAPE II;0;0;0
01/01/2017;UTE SUZANO;190;227;19,47
01/01/2017;UTE SYKUE 1;0;0;0
01/01/2017;UTE TAMBAQUI;55;62,27;13,22
01/01/2017;UTE USACIGA;0;0;0
01/01/2017;UTE VIANA;0;0;0
01/01/2017;VALE ROSARIO;60;60;0
01/01/2017;XAVANTES;0;0;0
01/01/2017;PCT AOR;0;0;0
01/01/2017;PCT CEEE;0;0;0
01/01/2017;PCT CELG;0;0;0
01/01/2017;PCT CEMAT;22;22,01;0,05
01/01/2017;PCT CEMIG;0;0;0
01/01/2017;PCT COELBA;0;0;0
01/01/2017;PCT CPFL;0;0;0
01/01/2017;PCT CSF;0;0;0
01/01/2017;PCT DJB;0;0;0
01/01/2017;PCT ENERSUL;21;21;0
01/01/2017;PCT FURNAS;0;0;0
01/01/2017;PCT MARINGA;77;77;0
01/01/2017;PCT PBR;0;0;0
01/01/2017;PCT PIE;0;0;0
01/01/2017;CONJUNTO CHAPADAO;76,19;112,24;47,32
01/01/2017;CONJUNTO TERMELETRICO BIOPAV;0;0;0
01/01/2017;CONJUNTO TERMELETRICO CACHOEIRA DOURADA;29;0;-100
01/01/2017;CONJUNTO TERMELETRICO DOURADOS;50;41,48;-17,04
01/01/2017;CONJUNTO TERMELETRICO EDEIA;0;0;0
01/01/2017;CONJUNTO TERMELETRICO JATAI;0;0;0
01/01/2017;CONJUNTO TERMELETRICO QUIRINOPOLIS;18;5,56;-69,11
02/01/2017;ANGRA;1.990,00;1.986,22;-0,19
02/01/2017;ALTA MOGIANA;29;29;0
02/01/2017;ALTOS;0;0;0
02/01/2017;ARACATI;0;0;0
02/01/2017;B.FLUMINENSE;509,17;448,98;-11,82
02/01/2017;B.L.SOBRINHO;0;0;0
02/01/2017;BAHIA I;16,54;15,61;-5,62
02/01/2017;BATURITE;0;0;0
02/01/2017;BELO JARDIM;0;0;0
02/01/2017;C.S.TUBARAO;197;145,62;-26,08
02/01/2017;CAMPO MAIOR;0;0;0
02/01/2017;CAMPOS;0;0;0
02/01/2017;CANDIOTA III;0;0;0
02/01/2017;CAUCAIA;0;0;0
02/01/2017;CELSO FURTADO;156,04;147,91;-5,21
02/01/2017;COCAL;0;0;0
02/01/2017;COLORADO;21;21;0
02/01/2017;CRATO;0;0;0
02/01/2017;DAIA;0;0;0
02/01/2017;EUZEBIO ROCHA;210;202,7;-3,48
02/01/2017;FER.GASPARIAN;0;0;0
02/01/2017;GERAMAR I;0;0;0
02/01/2017;GERAMAR II;0;0;0
02/01/2017;GOIANIA II;0;0;0
02/01/2017;GOV.L.BRIZOLA;420;425,17;1,23
02/01/2017;IGARAPE;0;0;0
02/01/2017;IGUATU;0;0;0
02/01/2017;JAIME BELTRAO;0;0;0
02/01/2017;JALLES MACHAD;0;0;0
02/01/2017;JE.SO.PEREIRA;244,58;207,05;-15,34
02/01/2017;JUAZEIRO NORT;0;0;0
02/01/2017;JUIZ DE FORA;0;0;0
02/01/2017;L.C.PRESTES;0;0;0
02/01/2017;LUIZ O R MELO;204;203,55;-0,22
02/01/2017;MARAMBAIA;0;0;0
02/01/2017;NAZARIA;0;0;0
