Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
01/01/2017;EOL D.INDIOS;18,04;7,87;-56,37
01/01/2017;EOL EMBUACA;11,94;15,84;32,66
01/01/2017;EOL ENACEL;16,88;13,89;-17,71
01/01/2017;EOL FAISA I;11,88;12,98;9,26
01/01/2017;EOL FAISA II;10,75;13,20;22,79
01/01/2017;EOL FAISA III;9,79;12,04;22,98
01/01/2017;EOL FAISA IV;9,79;10,98;12,16
01/01/2017;EOL FAISA V;11,29;12,25;8,50
01/01/2017;EOL FORMOSA;40,90;36,85;-9,90
01/01/2017;EOL ICARAI 1;15,54;21,82;40,41
01/01/2017;EOL ICARAI 2;21,71;26,89;23,86
01/01/2017;EOL ICARAIZIN;27,60;34,13;23,66
01/01/2017;EOL ILHA GRAN;12,88;0,00;-100,00
01/01/2017;EOL MACAUBAS;15,06;15,20;0,93
01/01/2017;EOL MAR TERRA;11,21;11,53;2,85
01/01/2017;EOL MIASSABA3;18,81;25,18;33,86
01/01/2017;EOL OSORIO;18,04;7,47;-58,59
01/01/2017;EOL OSORIO 2;7,50;4,95;-34,00
01/01/2017;EOL OSORIO 3;0,00;5,33;0,00
01/01/2017;EOL P.MORGADO;13,38;8,39;-37,29
01/01/2017;EOL PARACURU;0,00;0,00;0,00
01/01/2017;EOL PPARAJURU;0,00;0,00;0,00
01/01/2017;EOL RIACHAO 1;13,73;15,27;11,22
01/01/2017;EOL RIACHAO 2;11,94;13,66;14,41
01/01/2017;EOL RIACHAO 4;13,29;15,11;13,69
01/01/2017;EOL RIACHAO 6;13,29;13,58;2,18
01/01/2017;EOL RIACHAO 7;12,60;12,46;-1,11
01/01/2017;EOL RIBEIRAO;9,21;9,15;-0,65
01/01/2017;EOL RIO CHORO;0,00;0,00;0,00
01/01/2017;EOL S A PADUA;7,92;8,73;10,23
01/01/2017;EOL S.CRISTOV;14,75;16,82;14,03
01/01/2017;EOL SANGRA.2;9,54;6,82;-28,51
01/01/2017;EOL SANGRA.3;0,00;7,58;0,00
01/01/2017;EOL SANGRADOU;0,00;10,54;0,00
01/01/2017;EOL SAO JORGE;13,44;15,09;12,28
01/01/2017;EOL SEABRA;12,48;16,33;30,85
01/01/2017;EOL TBA AGUIA;14,00;16,44;17,43
01/01/2017;EOL VOLTA RIO;15,88;13,59;-14,42
01/01/2017;EOL XANGRILA;3,25;4,56;40,31
01/01/2017;EOL. INDIOS 2;7,92;7,62;-3,79
01/01/2017;EOL. INDIOS 3;0,00;5,58;0,00
01/01/2017;MANGUE SECO 1;12,46;12,92;3,69
01/01/2017;MANGUE SECO 2;12,21;11,85;-2,95
01/01/2017;MANGUE SECO 3;12,21;12,00;-1,72
01/01/2017;MANGUE SECO 5;11,48;13,82;20,38
01/01/2017;NOV.HORIZONTE;12,73;16,39;28,75
01/01/2017;REI VENTOS 1;21,88;20,92;-4,39
01/01/2017;REI VENTOS 3;22,31;18,74;-16,00
02/01/2017;CONJUNTO EOLICO AGUA DOCE;8,19;8,11;-0,98
02/01/2017;CONJUNTO EOLICO ALVORADA;10,54;7,87;-25,33
02/01/2017;CONJUNTO EÓLICO AMAZONAS;44,38;101,03;127,65
02/01/2017;CONJUNTO EOLICO ASA BRANCA;59,67;119,06;99,53
02/01/2017;CONJUNTO EOLICO ATLANTICA;12,69;13,26;4,49
02/01/2017;CONJUNTO EOLICO BAIXA DO FEIJAO;49,60;86,62;74,64
02/01/2017;CONJUNTO EÓLICO BLOCO SUL;30,44;80,53;164,55
02/01/2017;CONJUNTO EOLICO BOM JARDIM DA SERRA;2,85;1,97;-30,88
02/01/2017;CONJUNTO EOLICO BRISA POTIGUAR I;90,92;62,79;-30,94
02/01/2017;CONJUNTO EOLICO BW GUIRAPA I;19,62;29,35;49,59
02/01/2017;CONJUNTO EOLICO BW GUIRAPA II;18,62;24,59;32,06
02/01/2017;CONJUNTO EOLICO CABEÇO PRETO II;22,75;46,87;106,02
02/01/2017;CONJUNTO EOLICO CAETES II;54,56;81,66;49,67
02/01/2017;CONJUNTO EOLICO CAETITE;17,19;20,76;20,77
02/01/2017;CONJUNTO EOLICO CAETITE 123;19,10;15,30;-19,90
02/01/2017;CONJUNTO EOLICO CAETITE A;7,94;10,37;30,60
02/01/2017;CONJUNTO EOLICO CALANGO 1;29,21;31,39;7,46
02/01/2017;CONJUNTO EOLICO CALANGO 2;39,27;40,39;2,85
02/01/2017;CONJUNTO EOLICO CAMPO DOS VENTOS;38,02;67,90;78,59
02/01/2017;CONJUNTO EOLICO CAMPO FORMOSO;64,92;87,89;35,38
02/01/2017;CONJUNTO EOLICO CARCARA II;57,46;63,27;10,11
02/01/2017;CONJUNTO EOLICO CHAPADA I;54,81;83,51;52,36
02/01/2017;CONJUNTO EOLICO CHAPADA II;52,02;85,81;64,96
02/01/2017;CONJUNTO EOLICO CHAPADA III;50,67;78,57;55,06
02/01/2017;CONJUNTO EOLICO CHAPADA IV;0,00;32,17;0,00
02/01/2017;CONJUNTO EOLICO CURVA DOS VENTOS;13,15;11,29;-14,14
02/01/2017;CONJUNTO EOLICO DOS ARACAS;36,73;27,11;-26,19
02/01/2017;CONJUNTO EOLICO GENTIO DO OURO I;32,54;32,18;-1,11
02/01/2017;CONJUNTO EOLICO GUIRAPA;16,12;16,97;5,27
02/01/2017;CONJUNTO EOLICO ITAREMA V;63,88;108,84;70,38
02/01/2017;CONJUNTO EOLICO LICINIO DE ALMEIDA;21,38;19,65;-8,09
02/01/2017;CONJUNTO EOLICO LIVRAMENTO 2;22,48;38,64;71,89
02/01/2017;CONJUNTO EOLICO MACACOS;31,31;39,41;25,87
02/01/2017;CONJUNTO EOLICO MODELO;29,06;0,00;-100,00
02/01/2017;CONJUNTO EOLICO MORRAO;30,44;25,87;-15,01
02/01/2017;CONJUNTO EOLICO MORRO DOS VENTOS;54,60;78,31;43,42
02/01/2017;CONJUNTO EOLICO MORRO DOS VENTOS II;34,33;49,48;44,13
02/01/2017;CONJUNTO EOLICO NOSSA SENHORA DA CONCEICAO;19,56;19,40;-0,82
02/01/2017;CONJUNTO EOLICO OLHO DAGUA;49,48;58,12;17,46
