Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
06/01/2017;ILHA SOLTEIRA;1.644,5;1.871,1;13,78
06/01/2017;IRAPE-US;62,0;70,5;13,73
06/01/2017;ITAIPU 60 HZ;5.214,0;5.234,0;0,38
06/01/2017;ITIQUIRA I;30,0;30,3;0,90
06/01/2017;ITIQUIRA II;80,0;85,1;6,42
06/01/2017;ITUMBIARA;749,2;620,2;-17,22
06/01/2017;ITUTINGA-US;15,0;14,3;-4,74
06/01/2017;J.GELASIO ROC;0,0;0,0;0,00
06/01/2017;JAGUARA-US;322,6;298,6;-7,42
06/01/2017;JAGUARI;19,1;18,9;-1,20
06/01/2017;JLM.G.PEREIRA;39,2;39,2;-0,08
06/01/2017;JUBA 1;27,6;15,4;-44,03
06/01/2017;JUBA 2;15,4;27,6;78,68
06/01/2017;JUPIA;1.027,8;1.074,4;4,53
06/01/2017;JURUMIRIM;96,0;95,7;-0,28
06/01/2017;L.C.BARRETO;398,1;400,0;0,49
06/01/2017;LAJEADO;209,4;217,7;3,97
06/01/2017;LASA;0,0;0,0;0,00
06/01/2017;LIMOEIRO;12,9;10,8;-15,90
06/01/2017;M. MORAES;311,7;304,9;-2,19
06/01/2017;MANSO;60,0;61,1;1,78
06/01/2017;MARIMBONDO;869,1;884,3;1,75
06/01/2017;MIRANDA;161,3;156,2;-3,18
06/01/2017;N.AVANHANDAVA;187,6;190,3;1,44
06/01/2017;NILO PECANHA;266,6;319,5;19,87
06/01/2017;NOVA PONTE;163,0;170,6;4,69
06/01/2017;OURINHOS;43,0;35,9;-16,55
06/01/2017;P. COLOMBIA;178,8;165,3;-7,54
06/01/2017;P. PRIMAVERA;1.247,6;1.252,8;0,42
06/01/2017;PARAIBUNA;9,9;11,7;17,62
06/01/2017;PCH BURITI;26,0;26,0;0,00
06/01/2017;PCH CEB;1,7;1,7;0,00
06/01/2017;PCH CELG;51,3;37,0;-27,84
06/01/2017;PCH CEMAT;493,5;493,5;0,00
06/01/2017;PCH CEMIG;40,3;40,3;0,00
06/01/2017;PCH CERJ;301,0;0,0;-100,00
06/01/2017;PCH CESP;0,0;0,0;0,00
06/01/2017;PCH CGRANDE;43,0;43,0;0,00
06/01/2017;PCH CPFL;45,0;45,0;0,00
06/01/2017;PCH EMAE;40,0;40,0;0,00
06/01/2017;PCH ENERSUL;1,0;0,0;-100,00
06/01/2017;PCH ESCELSA;171,4;171,4;0,00
06/01/2017;PCH IACIARA;0,0;0,0;0,00
06/01/2017;PCH JAURU-CEMAT;0,0;61,3;0,00
06/01/2017;PCH JI-PARANA;0,0;30,1;0,00
06/01/2017;PCH NORTEMS;0,0;0,0;0,00
06/01/2017;PCH P. BUENO;0,0;14,1;0,00
06/01/2017;PCH QUEIXADA;20,1;21,2;5,01
06/01/2017;PCH S A CAIAPO;11,0;0,0;-100,00
06/01/2017;PCH SAL.CURUA;0,0;0,0;0,00
06/01/2017;PCH SAO JOAO;23,0;23,0;0,00
06/01/2017;PCH VILHENA;0,0;24,3;0,00
06/01/2017;PEIXE ANGICAL;129,3;132,3;2,30
06/01/2017;PEREIRA PASSO;44,0;48,7;10,64
06/01/2017;PICADA;24,3;25,7;5,68
06/01/2017;PIRAJU;72,6;75,4;3,89
06/01/2017;PONTE PEDRA;174,0;171,6;-1,37
06/01/2017;PORTO ESTRELA;33,4;23,3;-30,39
06/01/2017;PORTO PEDRAS;22,0;22,0;0,00
06/01/2017;PROMISSAO;119,1;124,0;4,17
06/01/2017;QUEIMADO;9,0;8,6;-4,44
06/01/2017;RETIRO BAIXO;29,1;23,9;-17,91
06/01/2017;RISOLETANEVES;0,0;0,0;0,00
06/01/2017;ROCHEDO;2,7;0,0;-100,00
06/01/2017;RONDON II;63,4;61,1;-3,63
06/01/2017;ROSAL;35,6;31,5;-11,55
06/01/2017;ROSANA;285,3;285,7;0,13
06/01/2017;S.DO FACAO;29,3;30,5;4,03
06/01/2017;S.R.VERDINHO;50,3;51,3;2,03
06/01/2017;SA CARVALHO;33,0;31,6;-4,24
06/01/2017;SALTO;59,7;60,0;0,55
06/01/2017;SALTO GRANDE;38,9;38,1;-2,08
06/01/2017;SALTO GRANDE CS;70,0;68,0;-2,91
06/01/2017;SANTA BRANCA;9,0;8,6;-4,44
06/01/2017;SANTO ANTONIO;1.879,6;2.157,5;14,78
06/01/2017;SAO DOMINGOS;27,4;27,3;-0,58
06/01/2017;SAO JOAQUIM;0,0;0,0;0,00
06/01/2017;SAO LOURENCO;27,1;13,7;-49,67
06/01/2017;SAO SALVADOR;73,8;74,1;0,46
06/01/2017;SAO SIMAO-US;1.141,9;1.239,5;8,54
06/01/2017;SIMPLICIO;171,6;163,8;-4,50
06/01/2017;SOBRAGI;36,7;36,1;-1,61
06/01/2017;STA.CLARA-MG;6,9;9,8;42,27
06/01/2017;TAQUARUCU;311,3;305,7;-1,81
06/01/2017;TELES PIRES;1.285,7;1.262,1;-1,84
06/01/2017;TRES IRMAOS;314,8;348,3;10,67
06/01/2017;TRES MARIAS;49,0;49,0;0,00
06/01/2017;U.MASCARENHAS;70,0;71,4;1,94
06/01/2017;U.MIMOSO;15,0;22,0;46,67
06/01/2017;UH BCOQUEIROS;50,3;48,8;-2,98
06/01/2017;UHE CACU;35,6;34,4;-3,18
06/01/2017;UHE JIRAU;1.531,2;1.687,3;10,19
06/01/2017;UHE S.DA MESA;260,0;250,7;-3,59
06/01/2017;UHE SAMUEL;63,6;42,6;-33,07
06/01/2017;USI JAURU;63,9;76,8;20,19
06/01/2017;VOLTA GRANDE;209,7;171,6;-18,13
06/01/2017;
06/01/2017;"[Geração";  por Submercado]
06/01/2017;"[Térmica";  - Por Usina]
06/01/2017;"[Eólica";  - Por Usina]
06/01/2017;
06/01/2017;Ir para >>
06/01/2017;[Boletim Semanal - Página Inicial]
06/01/2017;"[Histórico da";  Geração de Energia]
06/01/2017;[Voltar]
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
06/01/2017;
13/01/2017;CURUA-UNA;23,6;22,2;-5,85
13/01/2017;ESTREITO;269,6;270,0;0,14
13/01/2017;FERREI.GOMES;56,7;55,7;-1,75
13/01/2017;PCH CELPA;0,0;0,0;0,00
13/01/2017;PCH CELTINS;0,0;0,0;0,00
13/01/2017;PCH CERON;0,0;0,0;0,00
